profile_id,total_cases,completion_rate,escalation_rate,timeout_rate,distance_accuracy_among_completed,distance_success_rate_all_cases,avg_steps
medical_risk_flagged,100,1.0,0.0,0.0,0.9433,0.69,36.91
fluctuating_vision_adult,102,1.0,0.0,0.0,0.9477,0.6863,49.21
high_symptom_stable,106,1.0,0.0,0.0,0.9481,0.7264,48.04
mild_anisometrope,180,1.0,0.0,0.0,0.9509,0.7333,37.51
low_confidence_like_case,101,1.0,0.0,0.0,0.9538,0.7228,36.72
moderate_anisometrope,167,1.0,0.0,0.0,0.9561,0.7485,36.28
conservative_comfort_first,397,1.0,0.0,0.0,0.9668,0.8136,32.58
adult_hyperope,977,1.0,0.0,0.0,0.9678,0.8209,32.19
driver_night_symptoms,480,1.0,0.0,0.0,0.9691,0.8229,44.9
near_demand_professional,454,0.9956,0.0044,0.0,0.9694,0.8216,35.69
high_myope_stable,759,1.0,0.0,0.0,0.9695,0.8261,32.49
dissatisfied_current_glasses,732,1.0,0.0,0.0,0.9706,0.832,32.43
young_stable_myope,1719,1.0,0.0,0.0,0.971,0.836,32.55
screen_heavy_young_adult,733,1.0,0.0,0.0,0.9727,0.8431,32.41
large_mismatch_candidate,204,1.0,0.0,0.0,0.9739,0.848,40.25
presbyope_distance_priority,541,0.9945,0.0055,0.0,0.9802,0.8872,35.62
young_astigmat,731,1.0,0.0,0.0,0.9932,0.959,32.84
presbyope_near_priority,334,0.9611,0.0389,0.0,0.9979,0.988,48.07
comfortable_current_glasses,1183,1.0,0.0,0.0,0.9989,0.9932,31.08
