profile_id,total_cases,completion_rate,escalation_rate,timeout_rate,distance_accuracy_among_completed,distance_success_rate_all_cases,avg_steps
medical_risk_flagged,100,0.84,0.16,0.0,0.9742,0.88,31.31
mild_anisometrope,180,0.8389,0.1611,0.0,0.9768,0.8889,33.89
high_symptom_stable,106,0.9811,0.0189,0.0,0.9824,0.8962,34.18
moderate_anisometrope,167,0.8922,0.1078,0.0,0.9866,0.9281,33.72
low_confidence_like_case,101,0.8812,0.1188,0.0,0.9869,0.9307,32.21
large_mismatch_candidate,204,0.5343,0.4657,0.0,0.9878,0.9608,35.95
fluctuating_vision_adult,102,0.9804,0.0196,0.0,0.9883,0.9314,34.65
adult_hyperope,977,1.0,0.0,0.0,0.9962,0.9775,28.07
screen_heavy_young_adult,733,1.0,0.0,0.0,0.9973,0.985,28.2
young_astigmat,731,0.9986,0.0014,0.0,0.9975,0.985,28.43
dissatisfied_current_glasses,732,1.0,0.0,0.0,0.9975,0.985,28.09
near_demand_professional,454,0.9956,0.0044,0.0,0.9978,0.9868,31.49
young_stable_myope,1719,1.0,0.0,0.0,0.9978,0.9866,28.32
driver_night_symptoms,480,1.0,0.0,0.0,0.9979,0.9875,31.37
conservative_comfort_first,397,1.0,0.0,0.0,0.9979,0.9874,28.19
high_myope_stable,759,1.0,0.0,0.0,0.998,0.9881,28.13
comfortable_current_glasses,1183,1.0,0.0,0.0,0.999,0.9949,27.01
presbyope_near_priority,334,0.979,0.021,0.0,0.9995,0.997,43.54
presbyope_distance_priority,541,0.9945,0.0055,0.0,0.9997,0.9982,31.51
